Design,Bushing IDs,SKU Count,SKUs,Category,Drill Size(s),Tube Length(s)
Presimo and Rollerball Pen Kit,PKPT100BU,1,PKPT100RCH,Presimo Pen Kits,10mm,NOT FOUND
Presimo Etched Fountain Pen Kit,PKPT100BU,1,PKPT100FRT,Presimo Pen Kits,10mm,NOT FOUND
Presimo Etched Rollerball Pen Kit,PKPT100BU,1,PKPT100RRT,Presimo Pen Kits,10mm,NOT FOUND
Princess with Blue Stones Pen Kit,PKPRPENBU,1,PKPRPEN3,Princess Pen Kits,10mm;8mm,"Lower Tube 2.465"""
Princess with Clear Stones Pen Kit,PKPRPENBU,2,PKPRPEN1;PKPRPEN4,Princess Pen Kits,10mm;8mm,"Lower Tube 2.465"""
Princess with Pink Stones Pen Kit,PKPRPENBU,1,PKPRPEN2,Princess Pen Kits,10mm;8mm,"Lower Tube 2.465"""
Professional and Twist Pen Kit,PKPRFBU,1,PKPRFCH,Professional Pen Kits,3/8in,Tube 2.800”
Propeller Twist Pen Kit,PKPROPBU,4,PKPROPAB;PKPROPAP;PKPROPCH;PKPROPGD,Airplane Pen Kits,3/8in,Upper Tube 1.773”;Lower Tube 1.773”
Protura Twist Pen Kit,PKKNBU,3,PKPRTCH;PKPRTGD;PKPRTGM,Protura Pen Kits,3/8in,Tube 2-29/32”
RAW 6061 Fountain Pen Kit,PKMAJSQBU,1,PKRAWFAL,RAW Pen Kits,3/8in,"Tube 2.966"""
RAW Fountain Pen Kit,PKMAJSQBU,2,PKRAWFBR;PKRAWFST,RAW Pen Kits,3/8in,"Tube 2.966"""
RAW Fountain Pen Kit with Clip,PKMAJSQBU,1,PKRAWFBRC,RAW Pen Kits,3/8in,"Tube 2.966"""
RAW Rollerball Pen Kit,PKMAJSQBU,3,PKRAWAL;PKRAWBR;PKRAWST,RAW Pen Kits,3/8in,"Tube 2.966"""
RAW Rollerball Pen Kit with Clip,PKMAJSQBU,1,PKRAWBRC,RAW Pen Kits,3/8in,"Tube 2.966"""
Revolver Click Pen Kit,PKREVBU,4,PKREVAB;PKREVAP;PKREVCH;PKREVGM,Revolver Pen Kits,10mm,"Tube 1.694"""
Rollester Rollerball Pen Kit,PKCHPENBU,2,PKRB1000;PKRB1020,Rollester Pen Kits,3/8in,Tube / Barrel 3.30”
Rollester with Cap Rollerball Pen Kit,PKCHPENBU,2,PKRB1010;PKRB1015,Rollester Pen Kits,3/8in,Tube / Barrel 3.30”
Salute The Troops Bolt Action Pen Kit,PKCP3000BU,3,PKCP8ARAB;PKCP8ARAC;PKCP8ARAP,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
Saxa EDC Click Pen Kit,PKM-BUSH3,3,PKSAXACH;PKSAXAGD;PKSAXAGM,Saxa EDC Pen Kits,7mm,Tube 3.120”
Saxa EDC Pencil Kit,PKM-BUSH3,3,PKSAXALCH;PKSAXALGD;PKSAXALGM,Saxa EDC Pen Kits,7mm,Tube 3.118”
Sculpted Arbor Pen Kit,PKSC-BU,1,PKSC-PEN6,Sculpted Pen Kits,8mm,"Tube 2.007"""
Sculpted Floral Design Twist Pen Kit,PKSC-BU,1,PKSC-PEN4,Sculpted Pen Kits,8mm,"Tube 2.007"""
Sculpted Latticed Twist Pen Kit,PKSC-BU,1,PKSC-PEN3,Sculpted Pen Kits,8mm,"Tube 2.007"""
Sculptured Twist Pen Kit,PKSC-BU,1,PKSC-PEN,Sculpted Pen Kits,8mm,"Tube 2.007"""
Semi Automatic Rifle Side Action Click Pen Kit,PKAUTOBU,2,PKAUTOAB;PKAUTOAP,Semi Automatic Rifle Pen Kits,10mm,Tube / Barrel 2.365”
Serpent Twist Pen Kit,PKSERBU,3,PKSER22;PKSERAB;PKSERAP,Serpent Pen Kits,10.5mm,"Upper Tube 1-21/32"";Lower Tube 2-5/32"""
Shake Pen Kit,PKSHAKEBU,2,PKSHA24;PKSHACH,Shake Pen Kits,10mm,Tube 2.125”
Skull Twist Pen Kit,PKSKULLBU,4,PKSKULLAB;PKSKULLAP;PKSKULLCH;PKSKULLGM,Skull Pen Kits,3/8in,"Upper Tube / Barrel 1-3/8"";Lower Tube / Barrel 1-23/32"""
Slimline Brushed Satin Pen Kit,PKM-BUSH3,1,PK-PENSAT,Slimline Pen Kits,7mm,Tube 2-1/32”
Slimline Brushed Satin Pencil Kit,PKM-BUSH3,1,PK-PCLSAT,Slimline Pen Kits,7mm,Tube 2-1/32”
Slimline Nitride Twist Pen Kit,PKM-BUSH3,1,PK-PENA2TN,Slimline Pen Kits,7mm,Tube 2-1/32”
Slimline Pen Kit,PKM-BUSH3,6,PK-PEN;PK-PENA2B;PK-PENA2P;PK-PENAC;PK-PENRG;PKPENA2BT,Slimline Pen Kits,7mm,Tube 2-1/32”
Slimline Pencil Kit,PKM-BUSH3,4,PK-PCL;PK-PCLA2B;PK-PCLA2P;PKPCLA2BT,Slimline Pen Kits,7mm,Tube 2-1/32”
Slimline Pro Brushed Satin Click Pen Kit,PK-PENXXBU,1,PK-PENXXS,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
Slimline Pro Click Pen Kit,PK-PENXXBU,3,PK-PENXX;PKPENXXAB;PKPENXXBT,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
Slimline Pro EDC Click Pen Kit,PK-PENXXBU,3,PKPENXEDCH;PKPENXEDGD;PKPENXEDGM,Slimline Pro Pen Kits,8mm,"Upper Tube 1-7/8"";Lower Tube 1-7/8"""
Slimline Pro Pen Kit,PK-PENXXBU,1,PKPENXXCH,Slimline Pro Pen Kits,8mm,"Upper Tube 1-1/32"";Lower Tube 2-1/32"""
