Kit ID,Title,Bushing IDs,Category,Drill Size(s),Tube Length(s)
PKJ316AP,John 3:16 Twist Pen Kit in Antique Pewter,PKFSANDBU,Christian Pen Kits,3/8in,Tube 2.226”
PKJ316CH,John 3:16 Twist Pen Kit in Chrome,PKFSANDBU,Christian Pen Kits,3/8in,Tube 2.226”
PKJPENBT,Compson Gun Metal Click Pen Kit,PKJPENBU,Compson Pen Kits,3/8in,"Tube 2.915"""
PKJ316GD,John 3:16 Twist Pen Kit in Golden,PKFSANDBU,Christian Pen Kits,3/8in,Tube 2.226”
PKJ316GM,John 3:16 Twist Pen Kit in Gun Metal,PKFSANDBU,Christian Pen Kits,3/8in,Tube 2.226”
PKKOLEBK,Kole EDC Click Pen Kit in Black Anodized Aliuminum,PKSRBU,Kole EDC Pen Kits,8mm,Upper Tube 2.512”
PKKOLEBR,Kole EDC Click Pen Kit in Brass,PKSRBU,Kole EDC Pen Kits,8mm,Upper Tube 2.512”
PKJPENCH,Compson Chrome Click Pen Kit,PKJPENBU,Compson Pen Kits,3/8in,"Tube 2.915"""
PKKOLECH,Kole EDC Click Pen Kit in Chrome,PKSRBU,Kole EDC Pen Kits,8mm,Upper Tube 2.512”
PKJPENGT,Compson Gold T/N Click Pen Kit,PKJPENBU,Compson Pen Kits,3/8in,"Tube 2.915"""
PKKOLEGM,Kole EDC Click Pen Kit in Gun Metal,PKSRBU,Kole EDC Pen Kits,8mm,Upper Tube 2.512”
PKKOLEGD,Kole EDC Click Pen Kit in Golden,PKSRBU,Kole EDC Pen Kits,8mm,Upper Tube 2.512”
PKKPCLCH,Stratus Chrome Pencil Kit,PKCHPENBU,Stratus Pen Kits,3/8in,Tube / Barrel 2.715”
PKKPEN24,Stratus Gold Click Pen Kit,PKCHPENBU,Stratus Pen Kits,3/8in,Tube / Barrel 2-11/16”
PKKPCLGM,Stratus Gun Metal Pencil Kit,PKCHPENBU,Stratus Pen Kits,3/8in,Tube / Barrel 2.715”
PKKPENGM,Stratus Gun Metal Click Pen Kit,PKCHPENBU,Stratus Pen Kits,3/8in,Tube / Barrel 2-11/16”
PKKPENCH,Stratus Chrome Pen Click Kit,PKCHPENBU,Stratus Pen Kits,3/8in,Tube / Barrel 2-11/16”
PKL760,Oxford V2 Rollerball Chrome Pen Kit,PKL760BU,Oxford Pen Kits,10mm,NOT FOUND
PKLEV24X,Lever Action Gold Click Pen Kit with Metal Gunstock,PKLEVBU,Lever Action Pen Kits,10mm,Tube 2.439”
PKLEVABX,Lever Action Antique Brass Click Pen Kit with Metal Gunstock,PKLEVBU,Lever Action Pen Kits,10mm,Tube 2.439”
PKLEVBKX,Lever Action Matte Black Click Pen Kit with Metal Gunstock,PKLEVBU,Lever Action Pen Kits,10mm,Tube 2.439”
PKLEVAPX,Lever Action Antique Pewter Click Pen Kit with Metal Gunstock,PKLEVBU,Lever Action Pen Kits,10mm,Tube 2.439”
PKL765,Oxford V2 Rollerball Gold Pen Kit,PKL760BU,Oxford Pen Kits,10mm,NOT FOUND
PKLEVGMX,Lever Action Gun Metal Click Pen Kit with Metal Gunstock,PKLEVBU,Lever Action Pen Kits,10.5mm;10mm,Tube 2.439”
PKLHPENAP,Lighthouse Antique Pewter Pen Kit,PKSCERBU,Lighthouse Pen Kits,3/8in,Tube 2-27/32”
PKLHPENAB,Lighthouse Antique Bronze Pen Kit,PKSCERBU,Lighthouse Pen Kits,3/8in,Tube 2-27/32”
PKLINERAP,Jet Airliner Antique Pewter Twist Pen Kit,PKLINERBU,Airplane Pen Kits,3/8in,Tube 3.545”
PKLHPENAC,Lighthouse Antique Copper Pen Kit,PKSCERBU,Lighthouse Pen Kits,3/8in,Tube 2-27/32”
PKLINERGD,Jet Airliner Golden Twist Pen Kit,PKLINERBU,Airplane Pen Kits,3/8in,Tube 3.545”
PKLOVEGD,Love Twist Pen Kit in Golden,PKLOVEBU,Love Pen Kits,8mm,Tube 2.047”
PKLINERCH,Jet Airliner Chrome Twist Pen Kit,PKLINERBU,Airplane Pen Kits,3/8in,Tube 3.545”
PKM1720GD,Matthew 17:20 Mustard Seed Twist Pen Kit in Golden,PKFSANDBU,Christian Pen Kits,3/8in,Tube 2.226”
PKM1720AP,Matthew 17:20 Mustard Seed Twist Pen Kit in Antique Pewter,PKFSANDBU,Christian Pen Kits,3/8in,Tube 2.226”
PKM1720CH,Matthew 17:20 Mustard Seed Twist Pen Kit in Chrome,PKFSANDBU,Christian Pen Kits,3/8in,Tube 2.226”
PKM1720GM,Matthew 17:20 Mustard Seed Twist Pen Kit in Gun Metal,PKFSANDBU,Christian Pen Kits,3/8in,Tube 2.226”
PKMAFGPJR,Majestic Jr. 22kt Gold/Chrome Fountain Pen Kit,PKMAJJRBU,Majestic Pen Kits,10.5mm;12.5mm,"Upper Tube 1-7/8"";Lower Tube 2-1/32"""
PKMAFGP,Majestic 22kt Gold/Chrome Fountain Pen Kit,PKMAJBU,Majestic Pen Kits,15/32in;37/64in,"Upper Tube 1-31/32"";Lower Tube 2-5/32"""
PKMAFTP,Majestic Gun Metal/Chrome Fountain Pen Kit,PKMAJBU,Majestic Pen Kits,15/32in;37/64in,"Upper Tube 1-31/32"";Lower Tube 2-5/32"""
PKMAJAXJR,Majestic Jr. Antique Brass and Antique Pewter Rollerball Pen Kit,PKMAJJRBU,Majestic Pen Kits,10.5mm;12.5mm,"Upper Tube 1-7/8"";Lower Tube 2-1/32"""
PKMAFTPJR,Majestic Jr. Gun Metal/Chrome Fountain Pen Kit,PKMAJJRBU,Majestic Pen Kits,10.5mm;12.5mm,"Upper Tube 1-7/8"";Lower Tube 2-1/32"""
PKMAJGP,Majestic 22kt Gold/Chrome Rollerball Pen Kit,PKMAJBU,Majestic Pen Kits,15/32in;37/64in,"Upper Tube 1-31/32"";Lower Tube 2-5/32"""
PKMAJSQ1,Majestic Squire Gold TN and Chrome Ballpoint Twist Pen Kit,PKMAJSQBU,Majestic Pen Kits,3/8in,Tube 2”
PKMAJGPJR,Majestic Jr. 22kt Gold/Chrome Rollerball Pen Kit,PKMAJJRBU,Majestic Pen Kits,10.5mm;12.5mm,"Upper Tube 1-7/8"";Lower Tube 2-1/32"""
PKMAJSQ2P,Majestic Squire 22kt 2-micron Gold and Chrome Ballpoint Twist Pen Kit,PKMAJSQBU,Majestic Pen Kits,3/8in,Tube 2”
PKMAJSQ1CL,Majestic Squire EDC Gold TN and Chrome Ballpoint Click Pen Kit,PKMAJSQBU,Majestic Pen Kits,3/8in,Tube 5-3/32”
PKMAJSQ3,Majestic Squire Gold TN and Gun Metal Ballpoint Twist Pen Kit,PKMAJSQBU,Majestic Pen Kits,3/8in,Tube 2”
PKMAJSQ4P,Majestic Squire 22kt 2-micron Gold and Gun Metal Ballpoint Twist Pen Kit,PKMAJSQBU,Majestic Pen Kits,3/8in,Tube 2”
PKMAJSQ5P,Majestic Squire Antique Brass and Pewter Twist Pen Kit,PKMAJSQBU,Majestic Pen Kits,3/8in,Tube 2”
PKMAJSQ6CL,Majestic Squire EDC Gun Metal and Chrome Ballpoint Click Pen Kit,PKMAJSQBU,Majestic Pen Kits,3/8in,Tube 5-3/32”
PKMEDAP,Medical Twist Pen Kit in Antique Pewter,PKMEDBU,Medical Pen Kits,3/8in,Tube 2-29/32”
PKMEDAB,Medical Twist Pen Kit in Antique Brass,PKMEDBU,Medical Pen Kits,NOT LISTED,Tube 2-29/32”
PKMAJTP,Majestic Gun Metal/Chrome Rollerball Pen Kit,PKMAJBU,Majestic Pen Kits,15/32in;37/64in,"Upper Tube 1-31/32"";Lower Tube 2-5/32"""
PKMEDGD,Medical Twist Pen Kit in Golden,PKMEDBU,Medical Pen Kits,3/8in,Tube 2-29/32”
PKMAJTPJR,Majestic Jr. Chrome/Gun Metal Rollerball Pen Kit,PKMAJJRBU,Majestic Pen Kits,10.5mm;12.5mm,"Upper Tube 1-7/8"";Lower Tube 2-1/32"""
PKMEDGM,Medical Twist Pen Kit in Gun Metal,PKMEDBU,Medical Pen Kits,3/8in,Tube 2-29/32”
PKMONT2C,Designer Chrome NT Twist Pen Kit,PKMONT2-BU,Designer Pen Kits,7mm,"Upper Tube 2 1/32"";Lower Tube 2 3/8"""
PKMINI,Mini Gold Keychain Pen Kit,PKM-BUSH3,Key Chain Pen Kits,7mm,Lower Tube 11/4”;Upper Tube 11/4”
PKMINICH,Mini Chrome Keychain Pen Kit,PKM-BUSH3,Key Chain Pen Kits,7mm,Lower Tube 11/4”;Upper Tube 11/4”
PKMINCLKC,Mini Chrome Click Pen Kit,PKMINCLKBU,Specialty Pen Kits,10mm,"Tube 2-3/4"""
PKMONT,Designer Gold Twist Pen Kit,PKMONTBUY,Designer Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
PKMONT2GM,Designer Gun Metal NT Twist Pen Kit,PKMONT2-BU,Designer Pen Kits,7mm,"Upper Tube 2 1/32"";Lower Tube 2 3/8"""
PKMONT2S,Designer Brushed Satin NT Twist Pen Kit,PKMONT2-BU,Designer Pen Kits,7mm,"Upper Tube 2 1/32"";Lower Tube 2 3/8"""
PKMOTAP,Motorcycle Antique Pewter Kickstart Action Pen Kit,PKPT100BU,Motorcycle Pen Kits,10mm,Tube / Barrel 2.281”
PKMONT224,Designer 24kt Gold NT Twist Pen Kit,PKMONT2-BU,Designer Pen Kits,7mm,"Upper Tube 2 1/32"";Lower Tube 2 3/8"""
PKMOTCH,Motorcycle Chrome Kickstart Action Pen Kit,PKPT100BU,Motorcycle Pen Kits,10mm,Tube / Barrel 2.281”
PKMOTMBCH,Motorcycle Matte Black and Chrome Kickstart Action Pen Kit,PKPT100BU,Motorcycle Pen Kits,10mm,Tube / Barrel 2.281”
PKMOTMB,Motorcycle Matte Black Kickstart Action Pen Kit,PKPT100BU,Motorcycle Pen Kits,10mm,Tube / Barrel 2.281”
PKMPL24,Mechanical Pencil Kit in Gold,PKFPBU,Mechanical Pencil Kits,3/8in,Tube 3.12”
PKMPLAB,Mechanical Pencil Kit in Antique Brass,PKFPBU,Mechanical Pencil Kits,3/8in,Tube 3.12”
